Date,IIP_yoy_pct,IIP_mom_pct,IIP_level,CPI_yoy_pct,CPI_mom_pct,CPI_level,Credit_yoy_pct,Credit_stock_VNDbn,ON_avg_monthly_interbank_rate,MP_shock_monthly,Age65_percent,Age65_z_m,AI_index_zavg,AI_index_pc1
2018-01-04,21.71815303,1.5,193.6904823,2.743928771,0.08,117.7437508,14.38811547,6654158.0,1.113684,-0.160906906,6.981619537,-0.37278470849190304,-0.48671003293937665,-0.5724651563699519
2018-01-05,22.3165707,2.2,197.9516729,3.859475599,0.55,118.3913414,14.11448946,6723248.0,1.465238,0.394058692,6.981619537,-0.37278470849190304,-0.5478180791209103,-0.6320124212608258
2018-01-06,21.58559518,-0.2,197.5557696,4.670959031,0.61,119.1135286,13.75945061,6827140.33,1.134286,0.554429548,6.981619537,-0.37278470849190304,-0.6432821259595869,-0.7301565100871243
2018-01-07,22.90457106,2.5,202.4946638,4.461847136,-0.09,119.0063264,13.4199394,6842262.0,2.064091,0.509566821,6.981619537,-0.37278470849190304,-0.5301718575478848,-0.6231875354572014
2018-01-08,26.92647233,7.3,217.2767743,3.975352208,0.45,119.5418549,13.11907154,6900174.0,3.915217,0.384144658,6.981619537,-0.37278470849190304,-0.5175332875870311,-0.6041448784097905
2018-01-09,27.81407004,0.8,219.0149885,3.975352208,0.59,120.2471518,13.07872148,6985654.0,3.263158,0.093543891,6.981619537,-0.37278470849190304,-0.21897204912952875,-0.24174568094021187
2018-01-10,24.61871828,5.3,230.6227829,3.892511573,0.33,120.6439674,12.42394897,7038597.0,3.572174,0.744615454,6.981619537,-0.37278470849190304,-0.3997330176236291,-0.44479045158738284
2018-01-11,24.73994272,2.9,237.3108436,3.456729541,-0.29,120.2940999,11.62390635,7111011.0,4.744545,0.941860355,6.981619537,-0.37278470849190304,-0.3275432232211843,-0.3716654318124533
2018-01-12,24.00617835,1.4,240.6331954,2.981825882,-0.25,119.9933647,16.52450561,7375669.11,4.655789,-4.762019348,6.981619537,-0.37278470849190304,-0.3919047261249847,-0.43703508538894115
2019-01-01,24.26291992,-3.2,232.9329331,2.56174282,0.1,120.113358,14.99029976,7348531.0,4.3491,1.441753053,7.25022977,-0.07823528933085346,-0.509219986237549,-0.5792008879207845
2019-01-02,24.71260479,-16.8,193.8002004,2.633015748,0.8,121.0742649,13.58430596,7288020.0,4.3633,1.364020663,7.25022977,-0.07823528933085346,-0.4813472169459554,-0.5606293125350575
2019-01-03,29.58736459,27.6,247.2890557,2.694762273,-0.21,120.8200089,13.45187801,7437086.0,3.7819,0.239901298,7.25022977,-0.07823528933085346,-0.40402251531738387,-0.47048052267694
2019-01-04,28.43831407,0.6,248.77279,2.930771419,0.31,121.194551,13.20705039,7532976.0,3.8716,0.345227517,7.25022977,-0.07823528933085346,-0.25988376418297415,-0.31345013011171785
2019-01-05,31.454478,4.6,260.2163383,2.869350769,0.49,121.7884043,13.45729386,7628015.24,3.3143,-0.147643496,7.25022977,-0.07823528933085346,-0.40200252111655677,-0.4748907103478954
2019-01-06,33.4302467,1.3,263.5991507,2.153631203,-0.09,121.6787947,13.40155066,7742083.0,3.3115,0.104827775,7.25022977,-0.07823528933085346,-0.3690947968596163,-0.44815942495903954
2019-01-07,37.85622562,5.9,279.1515006,2.429694464,0.18,121.8978165,13.27793353,7750773.0,3.0761,0.087438519,7.25022977,-0.07823528933085346,-0.27732195775769963,-0.35954156141560056
2019-01-08,35.41515545,5.4,294.2256817,2.256344061,0.28,122.2391304,13.03674371,7799732.0,3.3695,0.278979387,7.25022977,-0.07823528933085346,-0.40411873053546443,-0.4802974927902143
2019-01-09,34.20609157,-0.1,293.931456,1.981871321,0.32,122.6302956,12.93015658,7888910.0,2.84,0.101534837,7.25022977,-0.07823528933085346,-0.37260240771897013,-0.43214133955995
2019-01-10,30.89236091,2.7,301.8676053,2.24615206,0.59,123.3538144,12.73054843,7934649.0,1.8604,0.225173678,7.25022977,-0.07823528933085346,-0.29155370641115275,-0.34152761200880094
2019-01-11,25.16820519,-1.6,297.0377236,3.527946163,0.96,124.538011,12.55872055,8004063.0,2.5881,0.293947553,7.25022977,-0.07823528933085346,-0.3185313254311766,-0.36276789416865074
2019-01-12,24.05724478,0.5,298.5229122,5.240438506,1.4,126.2815431,11.11389188,8195393.0,2.9845,1.730554038,7.25022977,-0.07823528933085346,-0.2297553883723786,-0.26917231363406446
2020-01-01,13.03563006,-11.8,263.2972086,6.428467432,1.23,127.8348061,11.63323731,8203403.05,1.8306,-0.11176012,7.56724482,0.26939330917757087,-0.44807293870054,-0.5257906759869195
2020-01-02,47.2723834,8.4,285.4141741,5.404304601,-0.17,127.617487,12.64184237,8209360.0,2.2935,-0.634684865,7.56724482,0.26939330917757087,-0.29807089331713205,-0.35695798576080123
2020-01-03,27.88228903,10.8,316.2389049,4.865611392,-0.72,126.6986411,11.63528296,8302412.0,2.1036,0.959224613,7.56724482,0.26939330917757087,-0.08836977804046542,-0.10879520834137926
2020-01-04,10.21266858,-13.3,274.1791306,2.931593038,-1.54,124.747482,10.33226443,8311303.0,2.302,1.283609837,7.56724482,0.26939330917757087,0.28313593047530833,0.32936336987759807
2020-01-05,17.16681402,11.2,304.8871932,2.398958662,-0.03,124.7100577,9.583485835,8359045.0,1.11,0.953918195,7.56724482,0.26939330917757087,0.05359309243467973,0.05066023041343511
2020-01-06,27.57650134,10.3,336.2905741,3.167642668,0.66,125.5331441,9.71858607,8494504.0,0.2,0.370518784,7.56724482,0.26939330917757087,0.05327569095538471,0.042163999487108264
2020-01-07,21.79399703,1.1,339.9897704,3.394203672,0.4,126.0352767,10.01981351,8527386.0,0.1552,0.220225682,7.56724482,0.26939330917757087,-0.20384505141776446,-0.247384357416393
2020-01-08,16.24740134,0.6,342.029709,3.177682105,0.07,126.1235014,10.14247669,8590818.0,0.2029,0.281531052,7.56724482,0.26939330917757087,-0.21234594968803996,-0.2755405532506527
2020-01-09,19.0401317,2.3,349.8963923,2.971984971,0.12,126.2748496,10.20597269,8694050.0,0.1305,0.356970259,7.56724482,0.26939330917757087,-0.09034452865170339,-0.13507015090329358
2020-01-10,22.16971647,5.4,368.7907975,2.460144903,0.09,126.388497,10.30132524,8752023.0,0.1027,0.343641716,7.56724482,0.26939330917757087,-0.10709127481445926,-0.13025506971536524
2020-01-11,24.77699701,0.5,370.6347515,1.475731862,-0.01,126.3758581,11.00386141,8884819.0,0.1081,-0.334744686,7.56724482,0.26939330917757087,-0.07811690218863804,-0.07554534704703941
2020-01-12,26.14271538,1.6,376.5649075,0.174760941,0.1,126.502234,12.16748239,9192566.0,0.1117,-0.91007612,7.56724482,0.26939330917757087,0.05901564111629516,0.06740049432660118
2021-01-01,38.29932627,-3.3,364.1382656,-0.983042776,0.06,126.5781353,12.90951479,9262422.58,0.1215,-0.594886741,7.885703475,0.6186049189119593,-0.2219492724039167,-0.2441268039819683
2021-01-02,0.662517002,-21.1,287.3050915,0.693193402,1.52,128.502123,12.71367074,9253071.0,1.3327,0.250305292,7.885703475,0.6186049189119593,-0.34443775006094746,-0.39979178111820474
2021-01-03,10.92864013,22.1,350.7995168,1.149598892,-0.27,128.1551672,13.98938044,9463868.0,0.2874,-0.798499244,7.885703475,0.6186049189119593,0.13243231875891245,0.14562944142698359
2021-01-04,29.35277413,1.1,354.6583114,2.690573891,-0.04,128.1039052,15.21088968,9575526.13,0.484,-0.799046011,7.885703475,0.6186049189119593,0.19709936391562943,0.2151046758103161
2021-01-05,18.18562816,1.6,360.3328444,2.885744532,0.16,128.3088714,15.41805314,9647847.0,1.267,0.026019549,7.885703475,0.6186049189119593,0.33603112196568563,0.391265833675475
